"filename", "language", "Shell Script", "JavaScript", "comment", "blank", "total"
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\bounds_nest_root_ar_gt_1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\bounds_nesting_2lvl.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\colorlegend.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\colorlegendtemp.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\nesting_fix.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\series_color_by_columns.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\stream_dev.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\stream_dev2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\stream_inner_padding.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\temp1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\cars\test-cases\ui_styling.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\chem\chem.js", "JavaScript", 0, 11, 0, 5, 16
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\chem\test-cases\date_fix.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\chem\test-cases\stream_nest.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\dev\test-suites\chem\test-cases\stream_nest_circular.js", "JavaScript", 0, 1, 0, 0, 1
